ISO3,Country,HDI_Category,HDI,Publications
SSD,South Sudan,Low,0.381,5
ESP,Spain,Very High,0.911,109
LKA,Sri Lanka,High,0.78,5
SDN,Sudan,Low,0.516,1
SUR,Suriname,Medium,0.69,1
SWE,Sweden,Very High,0.952,16
CHE,Switzerland,Very High,0.967,20
SYR,Syrian Arab Republic,Medium,0.557,3
TJK,Tajikistan,Medium,0.679,2
TZA,Tanzania (United Republic of),Low,0.532,8
THA,Thailand,Very High,0.803,23
TLS,Timor-Leste,Medium,0.566,0
TGO,Togo,Low,0.547,0
TON,Tonga,High,0.739,0
TTO,Trinidad and Tobago,Very High,0.814,0
TUN,Tunisia,High,0.732,7
TUR,Türkiye,Very High,0.855,75
TKM,Turkmenistan,High,0.744,0
TUV,Tuvalu,Medium,0.653,0
UGA,Uganda,Medium,0.55,4
UKR,Ukraine,High,0.734,131
ARE,United Arab Emirates,Very High,0.937,50
GBR,United Kingdom,Very High,0.94,270
USA,United States,Very High,0.927,827
URY,Uruguay,Very High,0.83,1
UZB,Uzbekistan,High,0.727,7
VUT,Vanuatu,Medium,0.614,0
VEN,Venezuela (Bolivarian Republic of),Medium,0.699,5
VNM,Viet Nam,High,0.726,24
YEM,Yemen,Low,0.424,8
ZMB,Zambia,Medium,0.569,3
ZWE,Zimbabwe,Medium,0.55,3
